ID,DAY_1,DAY_2,DAY_3,DAY_4,DAY_5,DAY_6,DAY_7,DAY_8,DAY_9,DAY_10,DAY_11,DAY_12,DAY_13,DAY_14,DAY_15,DAY_16,DAY_17,DAY_18,DAY_19,DAY_20,DAY_21,DAY_22,DAY_23,DAY_24,DAY_25,DAY_26,DAY_27,DAY_28,DAY_29,DAY_30,DAY_31
Mech_1,A,P,A,P,A,A,P,A,P,A,P,P,P,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P
Mech_2,P,P,P,A,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,A,P,A,P,P,P,P,P,P,P,P,A
Mech_3,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,A,P,A,P,P,P,P,A,P
Mech_4,P,A,P,P,A,P,A,P,A,P,A,P,P,P,P,A,A,A,P,P,A,A,A,P,P,P,P,P,P,P,P
Mech_5,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,P,A,A,P,A,P,P,P,P,P
Mech_6,A,P,P,P,P,P,P,A,P,A,A,P,P,P,P,A,A,A,P,P,P,A,P,P,P,P,P,P,P,P,A
Mech_7,P,A,P,P,P,A,A,A,P,P,P,P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,A,P,P,A
Mech_8,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,A,P,P,A,P,P,P,A,P
Mech_9,P,A,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,A,A
Mech_10,A,P,P,P,P,P,P,P,P,P,A,A,P,A,P,P,P,P,A,P,A,P,P,A,A,P,A,P,P,P,P
Mech_11,A,A,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P
Mech_12,A,P,A,P,P,P,A,P,P,P,P,A,P,A,A,P,A,A,P,P,P,P,P,A,P,A,P,A,P,P,P
Mech_13,P,P,P,P,A,P,P,P,P,P,A,A,P,P,P,P,A,P,P,P,A,P,P,A,P,P,P,P,P,P,P
Mech_14,P,P,A,P,P,P,A,P,P,A,P,P,P,A,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P
Mech_15,P,P,P,P,P,P,P,A,P,P,P,A,A,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P
Mech_16,P,P,P,A,P,A,P,P,P,A,P,P,P,A,P,P,A,P,A,P,A,A,P,A,P,P,P,P,P,A,A
Mech_17,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,A,P,P,A,P,A,P,A,P
Mech_18,P,P,P,A,A,P,P,P,P,A,P,A,A,P,A,P,P,A,P,P,P,P,P,A,P,A,A,P,P,A,P
Mech_19,P,P,A,A,P,P,A,P,A,A,P,P,A,P,P,P,A,P,P,P,P,P,A,A,P,P,A,A,P,P,P
Mech_20,P,A,A,A,A,A,P,P,P,P,P,A,P,A,A,A,P,P,A,P,A,P,P,P,P,P,P,P,P,A,P
Mech_21,P,P,P,P,P,P,A,A,P,P,P,A,P,P,A,P,P,P,A,A,P,P,P,P,P,A,A,P,P,P,A
Mech_22,P,P,A,A,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,A,P,A,P,A,A,A,P,A,P
Mech_23,P,P,P,P,P,P,A,A,P,P,A,A,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A
Mech_24,P,P,P,P,A,P,A,P,P,P,A,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,A
Mech_25,P,P,P,P,A,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,P
Mech_26,P,P,P,A,A,P,P,P,P,P,P,P,A,P,P,A,P,A,A,P,A,P,P,P,P,A,P,A,A,P,A
Mech_27,A,P,A,P,A,P,P,A,P,P,P,A,A,P,A,P,A,A,P,P,P,A,P,P,P,P,P,A,P,P,P
Mech_28,P,P,A,P,A,A,P,A,A,A,A,P,P,P,P,P,A,A,P,A,A,P,P,P,P,P,A,P,A,P,P
Mech_29,P,P,A,P,A,A,P,P,P,P,A,P,A,P,P,A,P,A,P,A,P,P,P,P,P,A,P,A,A,P,A
Mech_30,P,P,A,P,A,P,P,P,P,P,P,P,A,A,A,P,A,P,P,A,P,P,P,P,P,P,P,A,A,P,P
Mech_31,P,P,P,P,P,P,P,P,P,A,A,A,A,A,A,P,A,P,A,P,A,A,P,A,P,P,P,P,A,A,A
Mech_32,P,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,P,P,P,A,P,P,P,A,A,P,P,P,A,A,P
Mech_33,P,P,A,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,A,A,P,P,P,P,P,P,P,A,P,P
Mech_34,A,A,A,P,P,P,A,A,P,P,A,P,A,P,P,P,A,A,A,P,P,A,P,A,P,P,P,A,P,P,P
Mech_35,P,P,A,P,A,A,A,A,A,A,P,P,A,P,A,A,A,P,A,P,P,P,P,P,P,P,P,A,P,P,P
Mech_36,P,A,P,P,A,A,P,P,A,A,P,P,P,A,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P
Mech_37,A,A,P,A,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,A,A,P,P,P,P,P,P,P,A,P
Mech_38,P,P,A,P,P,P,A,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P,A,P,A,A,A,P,P,P,P
Mech_39,P,A,P,A,P,A,A,P,A,P,P,P,P,P,P,P,P,P,A,P,A,P,P,A,P,A,P,P,P,A,P
Mech_40,P,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,P
Mech_41,P,P,A,P,A,P,P,A,P,P,P,P,P,P,A,P,A,P,A,P,P,P,P,A,A,P,A,P,P,P,P
Mech_42,P,P,A,A,A,P,P,P,P,P,P,A,P,A,A,P,A,P,P,P,A,P,A,P,A,P,P,A,P,P,A
Mech_43,A,A,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,A,A,A,P,A,A,P,P,P,P,P,A
Mech_44,P,P,A,P,P,P,A,P,A,P,A,A,P,A,P,P,A,P,P,P,A,A,A,P,P,P,P,A,A,P,P
Mech_45,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P
Mech_46,A,P,A,P,A,P,P,P,P,A,A,A,P,A,P,P,P,A,P,P,P,A,A,P,A,P,P,P,P,A,A
Mech_47,P,P,P,P,P,P,A,P,P,A,A,P,P,P,P,A,P,P,A,P,A,P,P,A,P,A,A,P,P,A,A
Mech_48,A,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,A
Mech_49,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,A,P,P,A,P,P,A,P,P
Mech_50,P,P,P,P,A,A,A,P,A,A,A,P,P,P,A,A,P,P,A,P,P,A,A,A,P,P,A,P,P,P,P
Mech_51,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P
Mech_52,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A,A,A,P,A,A,P,A,P,A,A,A,A,A,P
Mech_53,A,P,P,P,A,P,A,A,P,A,P,A,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,A,P,A
Mech_54,P,A,P,P,A,A,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,A,P,A,P,A,P,A,A,P,P
Mech_55,P,A,P,P,P,A,P,P,A,A,A,A,P,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,P,P,A
Mech_56,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,A,A,A,P,P,P,P,P,P,P,P,A
Mech_57,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,A,A
Mech_58,P,P,P,P,A,A,A,P,P,P,P,P,A,P,P,A,P,P,P,A,P,P,P,P,P,P,P,A,P,A,P
Mech_59,P,P,P,A,P,P,A,P,P,A,A,P,P,P,P,P,P,A,P,P,A,P,A,P,P,P,P,P,P,A,A
Mech_60,P,A,A,A,A,P,P,P,A,P,P,P,P,A,A,A,P,P,P,P,P,P,A,A,A,P,A,P,P,P,P
Mech_61,P,P,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,A,A,A
Mech_62,A,P,P,P,A,P,P,P,P,P,A,P,A,A,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P
Mech_63,P,P,P,A,P,A,A,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,A
Mech_64,P,P,P,P,P,P,A,P,A,A,A,A,P,P,A,P,A,A,P,A,A,P,P,A,P,P,P,P,P,P,A
Mech_65,P,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P
Mech_66,P,A,P,P,P,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P,P,P,A,A,P,A,P,P
Mech_67,P,A,A,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P
Mech_68,P,P,P,A,A,P,P,A,P,A,A,A,P,A,P,P,A,A,P,A,P,P,P,P,A,A,P,P,P,P,A
Mech_69,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,A,P,P,A
Mech_70,A,P,P,A,P,A,A,P,A,P,P,P,A,A,A,P,P,P,P,P,P,A,A,P,A,A,P,P,P,P,A
Mech_71,A,A,A,P,P,A,P,A,P,P,P,P,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Mech_72,P,P,P,P,A,A,P,A,A,A,P,A,P,A,P,P,P,P,A,A,P,P,A,P,P,P,P,A,A,P,P
Mech_73,A,A,P,A,P,A,P,P,P,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,P,A,P,P,A,P
Mech_74,P,P,P,P,P,A,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,A,P,P,P,P,P,P,P,P,P
Mech_75,P,A,P,P,A,P,P,P,P,A,A,P,P,A,P,P,P,P,A,A,A,P,P,A,P,A,P,A,A,A,P
Mech_76,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,A,A,P,A
Mech_77,P,A,A,P,A,A,P,P,A,A,A,A,A,A,P,A,A,A,P,P,A,A,P,A,A,P,A,P,P,A,A
Mech_78,P,P,P,A,A,A,P,P,P,A,A,P,P,P,P,P,P,P,A,A,P,P,A,P,P,P,P,A,P,P,A
Mech_79,A,A,P,A,A,A,P,A,P,A,P,A,P,A,A,P,P,A,P,P,P,A,A,P,P,A,P,A,A,A,P
Mech_80,P,A,P,P,A,P,P,P,A,A,P,P,P,A,A,P,P,P,A,A,P,P,P,A,P,P,P,A,P,P,P
Mech_81,P,P,P,P,P,A,A,P,A,P,P,P,P,A,A,P,P,P,A,P,A,P,A,A,P,P,A,P,P,P,P
Mech_82,P,P,A,P,P,A,P,A,P,P,A,A,A,P,P,P,P,P,P,P,A,A,P,P,A,P,P,A,P,P,P
Mech_83,A,P,P,A,P,P,P,A,P,A,P,A,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,A,P,P,P
Mech_84,A,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,A,P,A,A,P,P,P
Mech_85,P,P,P,P,P,P,P,P,P,A,A,A,P,P,P,P,P,P,P,A,A,P,P,P,P,P,A,P,P,P,P
Mech_86,A,P,P,P,P,A,P,A,P,A,A,P,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Mech_87,P,A,A,P,P,P,P,P,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,A,P,P,A,A,P,P,A
Mech_88,P,P,P,A,P,P,P,A,P,A,A,P,A,P,P,P,A,P,P,P,A,P,P,P,P,P,P,P,P,P,A
Mech_89,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,A,A,P,A,A,A,A
Mech_90,A,P,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P
Mech_91,P,P,P,P,A,A,A,P,A,P,P,A,A,A,P,P,P,A,A,A,A,P,A,P,A,P,P,A,P,P,P
Mech_92,A,P,A,P,A,P,P,A,P,A,P,P,P,A,P,A,P,A,P,P,P,P,A,P,A,P,P,P,P,P,P
Mech_93,P,P,P,P,P,P,P,P,P,A,P,A,P,P,P,A,P,A,P,A,P,P,P,A,P,P,P,P,P,P,P
Mech_94,P,A,A,P,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,A,P,A,P,P,A,P,P,P,P,P,P
Mech_95,P,A,P,P,P,P,A,P,P,P,A,A,A,A,A,P,P,A,P,P,A,P,A,P,A,P,P,P,P,P,P
Mech_96,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,A,P,A,P,P,P,P,P,A,A,P
Mech_97,A,A,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,A,P,A,P,A,P,A,A,A,A,P,P,A,P
Mech_98,P,A,A,P,P,P,P,A,A,P,P,P,A,P,P,A,P,P,P,P,P,A,A,P,A,A,P,A,P,P,A
Mech_99,P,P,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,A,A,P,A,P
Mech_100,P,P,A,P,P,P,P,P,P,P,A,A,A,P,P,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P
Mech_101,P,P,P,P,A,P,P,A,P,P,A,P,P,P,P,P,P,A,A,A,A,P,P,P,P,P,A,P,P,P,P
Mech_102,P,A,A,P,P,P,P,P,P,A,P,A,P,P,P,A,A,P,A,P,A,P,P,P,P,P,A,P,A,P,A
Mech_103,A,P,A,A,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,P,P,P,A,P,P,A,P,P,P,P,P
Mech_104,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,P,P,A,A,P,P,P,P
Mech_105,P,P,P,P,P,P,P,A,A,P,P,P,A,P,A,P,P,P,P,P,P,A,P,P,A,P,P,A,P,P,P
Mech_106,A,P,P,A,P,P,A,P,A,A,A,P,P,P,P,P,A,P,A,P,P,P,P,P,A,P,P,P,P,P,P
Mech_107,A,P,P,P,P,A,P,A,P,P,P,A,P,P,P,P,P,P,P,A,P,A,P,A,P,P,P,P,P,P,P
Mech_108,P,P,P,P,P,A,A,P,A,P,P,P,P,P,P,A,P,P,A,A,A,P,A,P,P,P,P,P,P,A,P
Mech_109,A,P,A,A,P,P,P,A,P,P,P,A,A,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A
Mech_110,A,A,P,A,A,A,A,P,A,A,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A
Mech_111,P,A,A,P,P,P,A,A,P,P,A,A,P,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,A
Mech_112,P,P,A,P,P,P,P,A,P,A,P,P,P,P,A,P,P,P,P,P,P,P,P,A,P,P,P,A,A,P,P
Mech_113,P,P,A,A,A,P,A,P,P,A,P,A,P,P,P,P,A,A,A,P,A,A,P,P,P,A,P,P,P,P,P
Mech_114,A,P,P,P,P,P,P,P,A,P,A,P,P,P,P,A,P,P,A,P,P,A,P,P,A,A,A,A,P,A,P
Mech_115,A,P,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,A,P,P,P,A
Mech_116,P,A,A,A,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,A,P,A,A,P,P,P
Mech_117,P,P,P,A,A,P,A,A,A,P,P,P,P,A,P,P,P,P,P,P,A,P,A,P,P,P,A,P,A,P,P
Mech_118,P,A,P,P,P,P,P,P,P,A,A,A,P,P,P,P,P,A,P,P,P,P,P,A,P,A,A,P,A,A,P
Mech_119,P,A,P,A,P,P,P,A,P,A,A,P,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,A,P,P
Mech_120,P,P,P,A,P,P,P,P,A,P,P,A,P,P,P,P,A,A,P,P,P,P,P,A,P,P,A,A,P,P,P
Mech_121,A,P,A,A,P,P,P,A,P,P,A,P,A,A,A,A,A,P,P,A,A,A,P,P,P,A,P,P,A,P,P
Mech_122,A,P,A,A,P,P,A,A,P,A,P,A,P,A,P,A,A,P,P,P,P,P,P,P,P,P,P,P,P,P,P
Mech_123,P,A,P,A,A,A,P,P,P,P,P,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P,P,A,A,A
Mech_124,P,P,A,P,P,A,P,P,P,A,P,P,P,A,P,P,P,P,A,A,P,A,P,A,P,A,P,P,P,P,P
Mech_125,P,P,P,P,A,P,P,P,P,A,A,A,P,P,P,A,P,P,P,A,A,P,P,P,A,P,A,P,P,P,P
Mech_126,P,A,A,A,A,A,A,P,A,P,A,P,P,P,A,A,P,A,A,P,A,P,P,P,P,A,P,P,A,A,A
Mech_127,A,A,A,A,P,P,A,A,P,P,P,P,A,P,P,P,A,P,A,P,P,A,A,A,P,A,P,A,A,A,P
Mech_128,P,P,P,P,A,P,P,P,P,P,A,P,A,P,A,A,A,A,P,P,A,P,P,P,A,P,P,P,P,P,A
Mech_129,A,P,P,P,P,P,A,P,A,A,A,A,P,A,P,P,A,P,P,P,P,A,A,P,P,P,P,P,P,A,A
Mech_130,P,A,P,P,P,P,A,P,A,P,A,P,P,A,P,P,P,A,A,P,P,P,P,P,P,A,P,P,A,P,P
Mech_131,P,A,A,P,P,A,P,P,A,A,A,P,P,P,P,P,A,P,P,P,P,P,P,P,P,P,P,A,P,P,A
Mech_132,P,A,P,P,P,P,P,P,A,P,P,A,P,A,A,P,A,P,P,A,P,P,P,P,A,P,P,A,P,P,P
Mech_133,A,P,P,A,P,A,P,A,P,P,A,A,P,P,A,A,P,P,A,P,P,P,P,A,P,P,P,P,A,P,A
Mech_134,P,A,P,P,P,A,P,P,A,P,P,A,P,A,A,P,P,P,P,P,P,P,A,P,P,P,A,P,P,P,P
Mech_135,P,P,P,P,P,P,P,P,P,P,A,P,P,P,P,A,P,P,P,P,P,A,P,P,A,P,A,A,P,P,A
Mech_136,P,P,A,P,P,P,P,P,P,P,A,P,P,P,P,P,A,P,P,P,A,A,P,A,P,P,P,P,P,P,P
Mech_137,P,A,P,P,P,P,P,A,A,P,A,P,P,A,P,P,A,P,A,P,P,P,A,P,P,P,A,P,P,A,P
Mech_138,A,P,P,A,A,A,A,P,P,P,A,A,A,P,P,A,A,P,P,P,P,P,P,P,A,P,P,P,P,P,P
